id,speaker,text
90,obama,"For all these reasons, I maintained a healthy skepticism toward our surveillance programs after I became President"
91,obama,"We have to invest in our homeland security, because we can't capture or kill every violent extremist abroad"
92,obama,Federally-funded research helped lead to the ideas and inventions behind Google and smartphones
93,obama,And I do appreciate that Larry is here tonight because it is seven hours past his bedtime
94,obama,"I know the scale of this plan is unprecedented, but so is the severity of our situation"
95,obama,"Presidents from Teddy Roosevelt to Lyndon Johnson have been accused of promoting socialism, or worse"
96,obama,"I tease Joe sometimes, but he has been at my side for seven years now"
97,obama,"It is one of the tasks of all great religions to accommodate devout faith with a modern, multicultural world"
98,obama,"As you can imagine, this is a process that will take some time"
99,obama,It was from here that NASA launched the missions of Mercury and Gemini and Apollo
100,obama,Ryan was hit by shrapnel in the arm and both legs and was bleeding badly
101,obama,"The measure of our success must be whether people can live in sustained freedom, dignity, and security"
102,obama,"And so a lot of the uncertainty that you're reading about, that will be removed"
103,obama,The land-grant colleges and public high schools transformed the economy of an industrializing nation
104,obama,"We will do our part to help people feed themselves, power their economies, and care for their sick"
105,obama,"Over the last two days, I’ve reaffirmed the bonds between our countries with Prime Minister Netanyahu and President Peres"
106,obama,"Now, this is what I mean when I say that we need to focus on the future"
107,obama,And that will require difficult choices and it will require different paths for both of our countries
108,obama,"Army Secretary John McHugh; and Chief of Staff of the Army, General George Casey"
109,obama,And I intend to take that message to every corner of this country
110,obama,"Who knows what’s been happening while you’ve been paying attention to me? All right?Thank you very much, everybody"
111,obama,"But make sure you heal folks in underserved communities who really need it, too"
112,obama,"Today, we are seeing the struggle for these rights unfold across the Middle East and North Africa"
113,obama,Let me repeat this:  Nothing in our plan requires you to change what you have
114,obama,"Together, we’ve learned how to cure disease and harness the power of the wind and the sun"
115,obama,And we pray that a hand may guide us through the storm towards a brighter day
116,obama,We want to seed more and more partnerships of the kind that Rahm is trying to set up
117,obama,"Our objective is clear:  We will degrade, and ultimately destroy, ISIL through a comprehensive and sustained counterterrorism strategy"
118,obama,"Four years ago, the Defense Department decided to cease production because it had acquired the number requested -- 180"
119,obama,"Now, stopping illegal immigration must go hand in hand with reforming our creaky system of legal immigration"
120,obama,"President, let me once again thank you for everything you’ve done to strengthen our alliance and our friendship"
121,obama,And this is the moment when we must give hope to those left behind in a globalized world
122,obama,"""Father, as they called him, was just 35 years old when he died in that hellish prison camp"
123,obama,Whether you let your kids play with kids who attend a different church -– that’s your decision
124,obama,"Yes, the Supreme Court had ruled not only on the Montgomery buses, but also on Brown v"
125,obama,"Every time I visit Walter Reed, every time I visit Bethesda, I’m reminded of the wages of war"
126,obama,We are here today because enough people ignored the voices who told them that the world could not change
127,obama,"For when it comes to the pursuit of justice, we can afford neither complacency nor despair"
128,obama,It is not announcing that the mission is completed at any given period
129,obama,"Ryan says, ""I think we owe it to them to live lives worthy of their sacrifice"
130,obama,"Folks are complaining about the quality of our government, I understand there's something to be complaining about"
131,obama,"We are not bound to succeed, but we are bound to let whatever light we have shine"
132,obama,"Now until last week, I think it’s fair to say that few outside this state had ever heard of West"
133,obama,OPIC will soon launch a 2 billion dollars facility to support private investment across the region
134,obama,"So put them in a bill, and get it on my desk this year"
135,obama,You fought for each other and for the benefits and treatment you had earned
136,obama,"Six years into my presidency, some people still say I'm arrogant and aloof, condescending"
137,obama,We helped a generation of veterans go to college through the GI Bill
138,obama,"For the past nine years, in Afghanistan and Iraq, they have borne the burdens of war"
139,obama,And the pain and the experience of suffering by those who lost loved ones is just unimaginable
140,obama,"He’s trying to do the right thing, paying half the cost of coverage for his workers"
141,obama,"We're in a very dangerous situation, where financial institutions across this country are afraid to lend money"
142,obama,"Finally, my proposal would bring down the cost of health care for millions -- families, businesses, and the federal government"
143,obama,"I’ve learned that things aren’t always what you want, but you can make them what you want"
144,obama,And I just want to point out this was a central question during the election
145,obama,So what else are you talking about?  And at that point it kind of trails off
146,obama,"In country after country, people are mobilizing to free themselves from the grip of an iron fist"
147,obama,The second step in our approach is to find additional savings in our defense budget
148,obama,We all agree that we need legislation to make it harder for suspected terrorists to go undetected in this country
149,obama,These aren't Republican values or Democratic values that they're living by; business values or labor values
150,obama,And that means small businesses and medium-sized businesses and large businesses will all have more customers
151,obama,A farmer prepared for the spring after the strongest five-year stretch of farm exports in our history
152,obama,"If you’re sick, you’ll finally have the same chance to get quality, affordable health care as everyone else"
153,obama,"The second review will examine all screening policies, technologies, and procedures related to air travel"
154,obama,"You know, they said -- they said -- they said this day would never come"
155,obama,They remind us that heroism does not require special training or physical strength
156,obama,"In my first year, we achieved the largest percentage increase in the VA budget in 30 years"
157,obama,"I cannot ignore these rulings because as President, I too am bound by the law"
158,obama,Thank you for the honor of being able to be a part of it
159,obama,"Cuts in college Pell Grants that will grow to more than $1,000 per year"
160,obama,We don't have to settle for a PATRIOT Act that sacrifices our liberties or our safety
161,obama,We faced down fascism with the greatest war-time alliance the world has ever known
162,obama,"There are a lot of good people here, on both sides of the aisle"
163,obama,"His life, his story, tells us that change can come if you don’t give up"
164,obama,That's not why you put in all those hours in the Anatomy Suite or the O
165,obama,We are expected to protect the American people; that requires us to have capabilities in this field
166,obama,"And we’ve told BP that we expect them to pay for that, too"
167,obama,"Right now, there are brilliant students from all over the world sitting in classrooms at our top universities"
168,obama,He was a familiar and welcome voice that spoke to each and every one of us personally
169,obama,)  And there’s no shortage of people who are happy to opine on that
170,obama,"”And here at Pensacola, you’re carrying on the proud tradition of naval aviation that spans a century"
171,obama,The author of a book on the rescue found that those he interviewed were baffled by his interest
172,obama,"Last year, we prayed together for Pastor Saeed Abedini, detained in Iran since 2012"
173,obama,"They’re the millions of recruits who have stepped forward since, seeing their nation at war and saying, “Send me"
174,obama,"But in Europe, there is an anti-Americanism that is at once casual but can also be insidious"
175,obama,It means investing in transportation and communications networks that move goods and information as fast as possible
176,obama,"Today, we're paying Medicare Advantage plans much more than we pay for traditional Medicare services"
177,obama,"Many more have left a part of themselves on the battlefield, or brought the shadows of battle back home"
178,obama,"And the people will have to be found, prosecuted and sent to jail"
179,obama,That was when the free world learned too late that it could not afford division
180,obama,We can’t guess with 100 percent accuracy what industries and innovations will next shape our world
181,obama,They are full of dancing and clapping and screaming and shouting that may seem jarring to the untrained ear
182,obama,"President Obama:  Where appropriate, we will bring terrorists to justice in our courts and our military justice system"
183,obama,We stitched together a community of free nations and institutions to endure and ultimately prevail during a Cold War
184,obama,""" We do not need to recite here the history of racial injustice in this country"
185,obama,The heroes of the Warsaw Ghetto who refused to go without a fight
186,obama,"This is more important than ever, given the nature of the challenges that we face"
187,obama,The Islamic Republic of Iran has been advancing its nuclear program for decades
188,obama,"To which gays and lesbians across the country responded, that's not going to be a problem"
189,obama,And some of you have seen what happened there as a consequence of the tornadoes that struck
190,obama,The common thread of progress is the principle that government is accountable to its citizens
191,obama,"We joked around, and took pictures, and I told him to stay in touch"
192,obama,"So, yes, this has been quite a year in politics, but also in the movies"
193,obama,I have confidence you will choose that path; you will embrace that task
194,obama,"These principles have guided our approach to Burma, with a combination of sanctions and engagement"
195,obama,Imagining and then fighting for and struggling for and sometimes dying for what didn’t seem possible before
196,obama,"When men and women peacefully claim their human rights, our own common humanity is enhanced"
197,obama,"More specifically, I got it from watching the women who shaped my life"
198,obama,"As many of you know, over the last few months I've been thinking hard about my plans for 2008"
199,obama,"I spend the whole year trying to unite Washington around things, and they come to visit on St"
200,obama,But I wanted to do my part to do my part to shape a better world
201,obama,"It was another Republican, Teddy Roosevelt, who said, “the object of government is the welfare of the people"
202,obama,"On behalf of myself and Michelle, thank you so much for welcoming us back to India"
203,obama,And we'll be there even after the cameras leave and after the attention turns elsewhere
204,obama,"Last weekend, she came home, but it was to attend the funeral of Hadiya Pendleton"
205,obama,And I am confident that we can meet any challenge as long as we are together
206,obama,So his demise should be welcomed by all who believe in peace and human dignity
207,obama,But the reality is that each contribution has to follow on to previous work
208,obama,And Jennifer Granholm has been all on top of this as the governor of Michigan
209,obama,Let me be clear: we must be as careful getting out of Iraq as we were careless getting in
210,obama,You remind us that our future is not shaped by mere chance or circumstance
211,obama,It's a plan that will not add to our deficit over the next decade
212,obama,"They were young and old, from different backgrounds and different walks of life"
213,obama,And we’ve had arguments between politicians that have been settled with actual duels
214,obama,"When there are efforts to boycott or divest from Israel, we will stand against them"
215,obama,"But more than that, both drilled into me the importance of service, character, and integrity"
216,obama,"This year, insurance companies will no longer be able to drop people’s coverage when they get sick"
217,obama,"They said this country was too divided, too disillusioned to ever come together around a common purpose"
218,obama,We know that too many young men in our community continue to make bad choices
219,obama,"Starting today, we must pick ourselves up, dust ourselves off, and begin again the work of remaking America"
220,obama,"Yet every year since, Congress had provided unrequested money for more C-17s that the Pentagon doesn't want or need"
221,obama,"It is time to set a new course for this economy, and that change must begin now"
222,obama,"In the United States, my administration has worked to make government more open and transparent and accountable to people"
223,obama,"If we focus on what matters, then more Americans will know the pride of that first paycheck"
224,obama,"As recently as a decade ago, there were great tensions between us and Malaysia, for example"
225,obama,"So long as I'm President of the United States, we will do just that"
226,obama,"It lives on in memories of your fellow soldiers, sailors, airmen and Marines who gave their lives"
227,obama,We just have to act like it again to write that next chapter in the American story
228,obama,"They see your country at the crossroads of continents, and touched by the currents of history"
229,obama,"This was back in 1967, ‘68 -- most of you weren’t born yet"
230,obama,"All of this bound America and Cuba in a unique relationship, at once family and foe"
231,obama,"There are always cynics who say, aw, this is too hard, the headwinds you face are too stiff"
232,obama,"And as somebody who was born in Hawaii, I'm glad to be here in July instead of January"
233,obama,And he’d go on to begin that first intercontinental railroad and set up the first land-grant colleges
234,obama,"Now, I have heard rumors that a few of you still have concerns about our new health care law"
235,obama,It’s a little harder to ignore the national debates about the issues that affect their lives and yours
236,obama,"First, I banned the use of so-called enhanced interrogation techniques by the United States of America"
237,obama,It’s about whether a child can learn the skills they need to make it in a changing world
238,obama,"Meanwhile, we strengthened our defenses -- hardening targets, tightening transportation security, giving law enforcement new tools to prevent terror"
239,obama,You need to take up the challenges that we face as a nation and make them your own
240,obama,For in our hands lies the ability to shape our world for good or for ill
241,obama,"But by this continuing distortion of Senate rules, a minority was able to block it from moving forward"
242,obama,I took office at a time when many around the world had come to view America with skepticism and distrust
243,obama,So he came back and enrolled in Morehouse to be closer to her
244,obama,Our Constitution and our Uniform Code of Military Justice provide a framework for dealing with the terrorists
245,obama,This includes funding to allow students training part-time to become nurse practitioners to start training full-time
246,obama,"Now, graduates, I am humbled to stand here with all of you as an honorary Morehouse Man"
247,obama,"He not only embodied Ubuntu, he taught millions to find that truth within themselves"
248,obama,"They’re innovative, flexible, focused on the future, and deeply devoted to our troops and their families"
249,obama,"We need more troops, more helicopters, more satellites, more Predator drones in the Afghan border region"
250,obama,"So with that, Governor, would you like to say a few words? GOVERNOR BENTLEY: I would"
251,obama,We must reverse the Taliban's momentum and deny it the ability to overthrow the government
252,obama,"And to spur on more success stories like the Allen Brothers, we’ve begun to reinvent our energy policy"
253,obama,"These provisions provide common-sense protections for middle class families, and they enjoy broad popular support"
254,obama,And we’ve had a lot of stakeholder discussions; that set of proposals is being worked up
255,obama,We’ve increased the role of emerging economies like India at international financial institutions
256,obama,"Now, we also know that military power alone is not going to solve the problems in Afghanistan and Pakistan"
257,obama,"We will set new standards, expand our cooperation with Russia, pursue new partnerships to lock down these sensitive materials"
258,obama,"We are shaped by every language and every culture, drawn from every end of this Earth"
259,obama,They had hopes for the future and they had dreams that were not yet fulfilled
260,obama,That will be true as we continue our efforts to pursue -- in the pursuit of peace
261,obama,"And yet, each season, the frost melts, the cold recedes, the sun reappears"
262,obama,"In today’s innovation economy, we also need a world-class commitment to science and research, the next generation of high-tech manufacturing"
263,obama,Iran is not going to simply dismantle its program because we demand it to do so
264,obama,"Because Republicans and Democrats approved the New START treaty, far fewer nuclear weapons and launchers will be deployed"
265,obama,"For we believe in the power of an awesome God, and we believe in this country’s sacred promise"
266,obama,"If we fail to act, the Assad regime will see no reason to stop using chemical weapons"
267,obama,"Those ideals still light the world, and we will not give them up for expedience'[s] sake"
268,obama,"It is good -- It is good to be here, and congratulations Class of 2010"
269,obama,You may have to cut back on medicines in order to fill up the gas tank
270,obama,"First, the friendship between the United States and Indonesia can advance our mutual interest in development"
271,obama,But it wasn’t just the giants of history who brought about this change
272,obama,"And the Chairman of the Grand Traverse Band of Ottawa and Chippewa Indian Tribe, Derek Bailey is here"
273,obama,And I will not stand by when our competitors don’t play by the rules
274,obama,"They had made their share of mistakes, had not always agreed with one another on every issue"
275,obama,"The sooner the extremists are isolated and unwelcome in Muslim communities, the sooner we will all be safer"
276,obama,The full faith and credit of the United States of America is not a bargaining chip
277,obama,"And when I say this is the largest response of its kind in American history, I mean it"
278,obama,"To defeat this enemy, we must understand who we are fighting against, and what we are fighting for"
279,obama,"Once more, they have the thanks of a grateful nation and the admiration of the world"
280,obama,"We’re going to modernize the Kennedy Space Center, creating jobs as we upgrade launch facilities"
281,obama,"This is training to become a medical technician, or a health IT worker, or a lab specialist, or a nurse"
282,obama,"A country faces few decisions as grave as using military force, even when that force is limited"
283,obama,"After nearly 10 years of service, struggle, and sacrifice, we know well the costs of war"
284,obama,"Thanks to all of you for bringing me home, even if it's just for a day"
285,obama,"”  Americans believed you, sir, when you said that to them over and over"
286,obama,"Since taking office, I’ve announced the most significant changes to my nation’s policy towards Cuba in decades"
287,obama,"And that's why, after the Afghan voting was completed, I insisted on a thorough review of our strategy"
288,obama,"Only two years after the passage of the original Act, registration numbers for minority voters in some States doubled"
289,obama,"The United States seeks security -- the security of our country, our allies and partners"
290,obama,That's how we're going to create sustained growth without the looming threat of another costly crisis
291,obama,Prejudices and stereotypes and assumptions -- those are what happens to old minds like mine
292,obama,"My outstanding Secretary of Education, Arne Duncan, who's here today -- stand up, Arne, so everybody can see you"
293,obama,But they just kept counter-attacking because they wanted to get their two buddies
294,obama,"Now, we can’t forget that this process of immigration and eventual inclusion has often been painful"
295,obama,So I understand the impulse to try to get around this in a simple way
296,obama,Will this solve every single problem in our health care system right away?  No
297,obama,"And finally, these guidelines we're putting in place are only the beginning of a long-term effort"
298,obama,"At the same time, our outstanding VA Secretary, Ric Shinseki, is working every day to build a 21st century VA"
299,obama,"While drawing down in Iraq, we have refocused on defeating al Qaeda and denying its affiliates a safe haven"
300,obama,"Our new Commander in Afghanistan, General McChrystal, has reported that the security situation is more serious than he anticipated"
301,obama,My father came to these shores in search of the promise that they offered
302,obama,"Our meeting today was comprehensive, historic and significant, embodying our shared values and aspirations"
303,obama,They took his clothes and made him stand in the freezing cold for hours
304,obama,I just talked to the platoon that lost six of their buddies in a senseless act of violence
305,obama,"Last month, Qaddafi’s grip of fear appeared to give way to the promise of freedom"
306,obama,The solution in Afghanistan is not just military – it is political and economic
307,obama,"So if you want to know who we are, what America is, how we respond to evil -- that’s it"
308,obama,More Americans will lose their family's health insurance if they switch jobs or lose their job
309,obama,"We help each other, we support one another, as one country, as one people"
310,obama,"That’s not just from the government, that’s also from the contractors who sometimes service your loans"
311,obama,"And I want to thank the Mayor of Strasbourg, Roland Ries, for his hospitality"
312,obama,”  The First Amendment of our Constitution established the freedom of religion as the law of the land
313,obama,"By ""violent extremism,"" we don’t just mean the terrorists who are killing innocent people"
314,obama,"So we’re improving care for our wounded warriors, especially those with post-traumatic stress and traumatic brain injury"
315,obama,It’s easy to see this as a distant problem -- until it is not
316,obama,”  We’ve got Navy -- all the students of the Naval Air Technical Training Center
317,obama,But I want the American people to know that the work has begun
318,obama,"And the duration of this transition period must be agreed, and the effectiveness of security arrangements must be demonstrated"
319,obama,You haven’t seen the same kind of sectarian animosity that you’ve seen in parts of the Middle East
320,obama,"All of this is in service of meeting what this former executive called ""Wall Street's relentless profit expectations"
321,obama,"It’s a plan to reward small businesses and manufacturers that create jobs here, not overseas"
322,obama,So I know that for many of you it’s an intimidating time to be marching out into the world
323,obama,"Asian immigrants helped build America, and millions of American families, including my own, cherish our ties to this region"
324,obama,It simply allows the country to pay for spending that Congress has already committed to
325,obama,"Still, even when we do know what works, we are often not making the most of it"
326,obama,"So even as America competes aggressively in Asian markets, we’re forging the economic partnerships that create opportunity for all"
327,obama,From Africato central Asia to the Pacific Rim– nearly 60countries stand on the brink of conflict or collapse
328,obama,That’s why my Administration has put more boots on the border than ever before
329,obama,I was wondering if you were struck by Raul Castro’s warm words for you today
330,obama,workers get hurt and you don’t necessarily see an improvement in standards of living for those ASEAN countries
331,obama,"But what did Lincoln say?  “I am not bound to win, but I am bound to be true"
332,obama,This can't be one of those Washington gimmicks that lets us pretend we solved a problem
333,obama,This is how we will keep alive the legacy of these proud and patriotic Americans
334,obama,We will continue air strikes to protect our people and facilities in Iraq
335,obama,Someone as gifted as Elena could easily have settled into a comfortable life in a corporate law practice
336,obama,We have to do more to help the long-term unemployed in their search for work
337,obama,That’s what we’re all going to do together in the months and years to come
338,obama,"But make no mistake: This war is ending, and all of our troops are coming home"
339,obama,It’s helped build the greatest economic engine that the world has ever known
340,obama,"We pray for those in Boston who have been tested, and the wounded whose greatest tests still lie ahead"
341,obama,"Gabby opened her eyes, so I can tell you she knows we are here"
342,obama,"In the new economy, jobs and businesses will go wherever the most skilled, best-educated workforce resides"
343,obama,"Moreover, Iran continues to support terrorism across the region, including providing weapons and funds to terrorist organizations"
344,obama,All of these agencies -- and their leaders -- are responsible for implementing these reforms
345,obama,"And when she was gone, my grandmother stepped up to take care of me"
346,obama,The days when empires could treat sovereign states as pieces on a chess board are over
347,obama,"""No one really knew what the actual value of these securities were, no one fully understood what the risks were"
348,obama,More small businesses will be forced to choose between health care and hiring
349,obama,That's why we made the largest increase in investments for veterans in decades last year
350,obama,Al Qaeda and the violent extremists who you’re fighting against want to destroy
351,obama,"I do know that this bill, this legislation, is going to be enormously important for America’s future"
352,obama,"I, as well, rise today to speak in support of the Iraq resolution that the Senate will consider tomorrow"
353,obama,"In the face of these challenges, too many leaders in the region tried to direct their people’s grievances elsewhere"
354,obama,", I continue to benefit from the contributions of Russians -- specifically, from Alexander Ovechkin"
355,obama,"To Representative Donna Edwards, who is here and represents Maryland's 4th District, thank you"
356,obama,We pledged to avoid the trade barriers and protectionism that hurts us all in the end
357,obama,We're offering more of the support and counseling they need to transition back to civilian life
358,obama,"And this is part of my broader initiative called 100,000 Strong in the Americas"
359,obama,I want to thank Senator Bill Nelson and NASA Administrator Charlie Bolden for their extraordinary leadership
360,obama,Thank you to the citizens of Berlin and* -- and thank you to the people of Germany
361,obama,"Pass this jobs bill, and thousands of teachers in every state will go back to work"
362,obama,We cannot rid Iraq of all who oppose America or sympathize with our adversaries
363,obama,"""And as we walk, we must make the pledge that we shall always march ahead"
364,obama,"Now, there's a parable at the end of the Sermon on the Mount that tells the story of two men"
365,obama,I have to say that few people are as singularly unimpressed by Air Force One as those three
366,obama,China itself has said repeatedly that they will and have been conforming to international law
367,obama,"Today, I’m once again calling on Congress to come together and get this done"
368,obama,We've got to prepare our people with the skills they need to compete in this global economy
369,obama,"An economy where hard work is rewarded and success is shared, that was his goal"
370,obama,"And he and his family live in South Delhi, in the village of Mor Band"
371,obama,And the whole point of intelligence is to obtain information that is not publicly available
372,obama,"And where is Pern Phansiri?  There’s Pern, from Thailand, a tireless fighter against human trafficking"
373,obama,"On top of that, the effects of the recession put a three trillion dollar hole in our budget"
374,obama,So I've cut the tension by bringing a new friend to the White House
375,obama,"Above all, above all we will demonstrate through actions our commitment to a better future"
376,obama,And the fact is there are leaders in both parties throughout this country who want to do the same
377,obama,"The problem is we're still not reaching enough kids, and we're not reaching them in time"
378,obama,Such open discourse is important even if what is said does not square with our worldview
379,obama,"On the contrary, al Qaeda’s appeal within Iraq is enhanced by our troop presence"
380,obama,"As citizens, we understand that America is not about what can be done for us"
381,obama,That’s what happened too often in the years leading up to this crisis
382,obama,"Well, with this law, unfair rate hikes, like the one that hit Robin, will end for good"
383,obama,We also must do more in this rescue package in order to help homeowners stay in their homes
384,obama,"In other words, there are going to be a lot of judgment calls involved here"
385,obama,"Because ultimately, there is no dividing line between Main Street and Wall Street"
386,obama,"If we’re going to meet our responsibilities, we have to do it together"
387,obama,"The roadblocks may prove to be too great, but I firmly believe the diplomatic path must be tested"
388,obama,We will find whoever harmed our citizens and we will bring them to justice
389,obama,"A young man came a few months ago who was about 25, 26 years old"
390,obama,"There are a lot of folks who are still struggling out here, too many people in poverty"
391,obama,"Through faith, but not through faith alone, we can unite people to serve the common good"
392,obama,"But before I do that, let me remind everybody that the Affordable Care Act is not just a website"
393,obama,We saw mothers and fathers carrying their children on their shoulders to show them what true freedom might look like
394,obama,The President sought and won authorization from Congress to wage this war from the start
395,obama,"And when we took the program over, we made it more transparent and more accountable"
396,obama,We believe that countries have to have the power to prevent illness and care for the sick
397,obama,"After centuries of strife, the people of Europe have formed a Union of promise and prosperity"
398,obama,"I was just discussing this with your commander, but I think it's something that all of you know"
399,obama,"For some of Ted Kennedy's critics, his brand of liberalism represented an affront to American liberty"
400,obama,"Most disastrously, that could mean destructive storms on our shores, and the disappearance of our coastline"
401,obama,"That work starts today, because the truth is, we do not have a minute to waste"
402,obama,"DuBois spoke about the “talented tenth” -- a class of highly educated, socially conscious leaders in the black community"
403,obama,No more will the world's financial players be able to make risky bets at the expense of ordinary people
404,obama,"As long as countries like China keep going all in on clean energy, so must we"
405,obama,This is probably a more profound shift for them than it is for us
406,obama,"This is consistent with, for example, the agreement that we have with Australia, in Darwin"
407,obama,"It requires compromise, and it requires absorbing some pain from your own side"
408,obama,That's why I've proposed a more than 6 percent increase in funding for the Education Department
409,obama,We’ve already taken steps to make sure our contractors do not engage in forced labor
410,obama,"And today, TARP has served its original purpose and at much lower cost than we expected"
411,obama,History shows that countries are more prosperous and more peaceful when women are empowered
412,obama,Now the world will watch and remember what we do here -- what we do with this moment
